RandomSeed,TestSet,Data,Accuracy,AUROC,F1,Precision,Recall,MCC,Classifier
3,1,alldataonelevel,0.9609375,0.8953703703703703,0.8648648648648649,0.9411764705882353,0.8,0.8460091120621586,tpotdefault
3,2,alldataonelevel,0.9772727272727273,0.9500000000000001,0.9302325581395349,0.9523809523809523,0.9090909090909091,0.9170205237216019,tpotdefault
4,1,alldataonelevel,0.9375,0.8407407407407408,0.7777777777777778,0.875,0.7,0.7481900559272088,tpotdefault
4,2,alldataonelevel,0.9393939393939394,0.8545454545454546,0.8,0.8888888888888888,0.7272727272727273,0.7700535410868201,tpotdefault
5,1,alldataonelevel,0.953125,0.8907407407407408,0.8421052631578947,0.8888888888888888,0.8,0.8162307868144942,tpotdefault
5,2,alldataonelevel,0.9545454545454546,0.9,0.8571428571428571,0.9,0.8181818181818182,0.8315218406202999,tpotdefault
6,1,alldataonelevel,0.9609375,0.8953703703703703,0.8648648648648649,0.9411764705882353,0.8,0.8460091120621586,tpotdefault
6,2,alldataonelevel,0.9545454545454546,0.8636363636363636,0.8421052631578947,1.0,0.7272727272727273,0.8304547985373997,tpotdefault
7,1,alldataonelevel,0.953125,0.85,0.8235294117647058,1.0,0.7,0.8143450710459553,tpotdefault
7,2,alldataonelevel,0.9545454545454546,0.9181818181818182,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8363636363636363,tpotdefault
8,1,alldataonelevel,0.96875,0.9,0.8888888888888888,1.0,0.8,0.8783100656536799,tpotdefault
8,2,alldataonelevel,0.946969696969697,0.8772727272727273,0.8292682926829268,0.8947368421052632,0.7727272727272727,0.8010821744425441,tpotdefault
9,1,alldataonelevel,0.9296875,0.8972222222222223,0.7906976744186046,0.7391304347826086,0.85,0.7513319206146093,tpotdefault
9,2,alldataonelevel,0.9090909090909091,0.8727272727272728,0.75,0.6923076923076923,0.8181818181818182,0.6985367247883852,tpotdefault
RandomSeed,TestSet,Data,Accuracy,AUROC,F1,Precision,Recall,MCC,Classifier
