drug,A5LHX3,B2RXH2,ENSG00000284190,O00142,O00206,O00231,O00232,O00305,O00329,O00337,O00408,O00444,O00487,O00519,O00555,O00591,O00625,O14649,O14684,O14744,O14757,O14764,O14818,O14920,O14939,O14965,O14976,O15056,O15111,O15244,O15245,O15264,O15303,O15357,O15379,O15399,O15438,O15439,O15440,O15527,O15528,O15530,O15554,O43174,O43242,O43353,O43426,O43451,O43497,O43570,O43613,O43614,O43868,O43924,O60218,O60240,O60285,O60341,O60359,O60391,O60563,O60658,O60674,O60706,O60755,O60760,O60840,O60885,O75151,O75365,O75376,O75469,O75530,O75751,O75909,O76074,O76082,O76083,O94759,O94760,O94782,O94804,O94806,O94956,O95069,O95180,O95263,O95271,O95342,O95436,O95718,O95749,O95870,P00338,P00352,P00374,P00387,P00390,P00395,P00403,P00519,P00533,P00558,P00734,P00742,P00747,P00748,P00749,P00750,P00797,P00915,P00918,P01106,P01112,P01116,P01130,P02144,P02708,P02766,P03372,P03951,P03952,P03956,P04035,P04049,P04062,P04070,P04150,P04183,P04233,P04271,P04278,P04350,P04406,P04626,P04629,P04818,P05023,P05026,P05067,P05091,P05093,P05106,P05107,P05113,P05129,P05164,P05177,P05181,P05186,P05231,P05362,P05556,P05771,P05981,P06213,P06239,P06241,P06276,P06401,P06493,P06746,P06748,P06756,P06858,P06865,P07202,P07205,P07288,P07332,P07333,P07437,P07451,P07477,P07478,P07510,P07550,P07686,P07711,P07858,P07900,P07947,P07948,P07949,P08069,P08172,P08173,P08183,P08235,P08236,P08238,P08253,P08254,P08263,P08311,P08473,P08514,P08581,P08588,P08631,P08648,P08684,P08686,P08842,P08908,P08912,P08913,P08922,P09211,P09467,P09619,P09769,P09848,P09874,P09917,P09923,P09960,P0DMS8,P0DP23,P0DPH7,P10145,P10253,P10275,P10276,P10398,P10619,P10632,P10635,P10721,P10809,P10826,P10827,P10828,P11150,P11229,P11230,P11274,P11309,P11362,P11387,P11388,P11413,P11473,P11474,P11509,P11511,P11712,P11802,P12004,P12821,P12931,P13631,P13637,P13726,P13866,P13945,P14207,P14324,P14410,P14415,P14416,P14550,P14555,P14635,P14679,P14735,P14780,P14867,P14902,P14920,P15056,P15121,P15144,P15328,P15538,P16050,P16083,P16233,P16234,P16499,P16591,P17252,P17405,P17516,P17612,P17787,P17948,P17980,P18031,P18054,P18089,P18405,P18505,P18507,P18545,P18825,P19099,P19174,P19440,P19634,P19784,P19793,P19838,P20248,P20292,P20309,P20618,P20648,P20701,P20813,P20815,P21397,P21452,P21554,P21709,P21728,P21731,P21802,P21860,P21917,P21964,P22001,P22079,P22102,P22303,P22309,P22310,P22455,P22460,P22607,P22612,P22694,P22748,P22894,P23141,P23219,P23280,P23443,P23458,P23786,P23921,P23946,P23975,P24385,P24462,P24530,P24557,P24723,P24863,P24864,P24941,P25021,P25024,P25025,P25098,P25100,P25101,P25103,P25105,P25116,P25786,P25787,P25788,P25789,P25929,P26358,P27338,P27361,P27487,P27695,P27815,P27986,P28062,P28065,P28066,P28070,P28072,P28074,P28221,P28222,P28223,P28300,P28335,P28472,P28482,P28566,P28702,P28845,P29274,P29275,P29317,P29323,P29372,P29375,P29376,P29466,P29474,P29475,P29597,P30279,P30281,P30304,P30411,P30518,P30530,P30531,P30536,P30542,P30556,P30559,P30926,P30939,P30968,P31213,P31391,P31639,P31644,P31645,P31749,P31751,P31939,P32238,P32239,P32245,P32297,P32302,P32929,P33032,P33176,P33261,P33527,P34903,P34913,P34947,P34949,P34969,P34972,P35030,P35218,P35222,P35228,P35236,P35346,P35348,P35354,P35367,P35368,P35372,P35462,P35498,P35499,P35573,P35913,P35916,P35968,P35998,P36507,P36544,P36639,P36776,P36888,P36956,P37088,P37231,P37268,P37288,P37840,P40306,P40763,P40925,P40926,P41143,P41145,P41146,P41235,P41240,P41252,P41440,P41595,P41597,P41743,P41968,P42224,P42261,P42330,P42336,P42338,P42345,P42356,P42574,P42680,P42681,P42684,P42685,P42785,P43119,P43166,P43220,P43405,P43681,P43686,P45452,P46059,P46098,P47869,P47870,P47989,P48065,P48066,P48147,P48169,P48443,P48556,P48729,P48736,P49137,P49146,P49327,P49336,P49354,P49356,P49720,P49721,P49841,P50052,P50281,P50406,P50416,P50613,P50750,P50993,P51160,P51164,P51449,P51589,P51665,P51679,P51681,P51684,P51812,P51813,P51843,P51946,P51948,P51955,P52333,P52564,P52895,P53350,P53355,P53609,P53634,P53667,P53778,P54284,P54289,P54709,P54710,P54750,P54760,P55036,P55072,P55157,P56524,P56817,P57059,P57764,P57789,P58215,P58335,P60896,P60900,P61073,P61088,P61604,P61964,P61981,P62191,P62195,P62333,P62508,P62942,P62955,P62993,P67870,P68363,P68366,P68371,P68400,P78329,P78334,P78396,P78417,P78527,P78536,P78549,Q00534,Q00535,Q00613,Q00653,Q00975,Q00G26,Q01064,Q01118,Q01538,Q01650,Q01668,Q01959,Q01970,Q02083,Q02127,Q02156,Q02410,Q02641,Q02750,Q02763,Q02880,Q03164,Q03181,Q03431,Q04206,Q04759,Q04828,Q04844,Q04912,Q05397,Q05513,Q05586,Q05655,Q05901,Q05940,Q05BQ5,Q06124,Q06187,Q06278,Q06418,Q06432,Q07001,Q07343,Q07820,Q07869,Q07912,Q07973,Q08050,Q08209,Q08289,Q08345,Q08493,Q08499,Q08881,Q09428,Q09470,Q12797,Q12809,Q12851,Q12866,Q12879,Q12884,Q12908,Q12974,Q13043,Q13093,Q13118,Q13200,Q13224,Q13304,Q13370,Q13393,Q13509,Q13526,Q13546,Q13547,Q13554,Q13555,Q13557,Q13564,Q13586,Q13639,Q13698,Q13733,Q13772,Q13882,Q13885,Q13936,Q13946,Q13956,Q14123,Q14289,Q14330,Q14376,Q14432,Q14524,Q14534,Q14542,Q14654,Q14680,Q14940,Q14957,Q14973,Q14994,Q15008,Q15046,Q15078,Q15116,Q15125,Q15139,Q15303,Q15393,Q15418,Q15465,Q15722,Q15746,Q15759,Q15788,Q15825,Q15835,Q15858,Q15878,Q16186,Q16204,Q16348,Q16445,Q16513,Q16539,Q16549,Q16620,Q16665,Q16678,Q16739,Q16762,Q16790,Q16832,Q16850,Q16873,Q2NL67,Q2TB90,Q3ZCM7,Q460N3,Q460N5,Q4U2R8,Q53GL7,Q58F21,Q59H18,Q6PEY2,Q6PIU2,Q6SZW1,Q6V1X1,Q6ZMT4,Q6ZQN7,Q71U36,Q7Z2W7,Q7Z3S7,Q7Z418,Q86TI2,Q86TP1,Q86VL8,Q86Z02,Q8IU85,Q8IVH8,Q8IXJ6,Q8IZS8,Q8N1C3,Q8N1Q1,Q8N2K0,Q8N4C8,Q8N5K1,Q8N5Y8,Q8NA19,Q8NBP7,Q8NCG7,Q8NE63,Q8NER1,Q8NEV1,Q8NFI3,Q8TAA3,Q8TAF3,Q8TCC7,Q8TCG2,Q8TCT1,Q8TCU5,Q8TDU6,Q8TDX5,Q8TEK3,Q8WTS1,Q8WTS6,Q8WUI4,Q8WVY7,Q8WWR8,Q8WWX8,Q8WXS5,Q92523,Q92731,Q92753,Q92769,Q92847,Q92887,Q93096,Q969S8,Q96D31,Q96DB2,Q96EB6,Q96FI4,Q96FL8,Q96GD4,Q96JB6,Q96JM7,Q96KQ7,Q96LA8,Q96LD8,Q96NT5,Q96RD7,Q96RI1,Q96RJ0,Q96S37,Q96SN7,Q96SW2,Q99250,Q99436,Q99460,Q99504,Q99519,Q99571,Q99640,Q99685,Q99720,Q99808,Q99835,Q99873,Q99928,Q9BPW9,Q9BQB6,Q9BQE3,Q9BQT8,Q9BRQ5,Q9BTU6,Q9BU89,Q9BUF5,Q9BV23,Q9BVA1,Q9BWU1,Q9BXT2,Q9BY41,Q9BZP6,Q9C000,Q9C0B1,Q9GZQ8,Q9GZT9,Q9GZU7,Q9GZV3,Q9H0H5,Q9H0J9,Q9H0K1,Q9H244,Q9H255,Q9H2J7,Q9H2K2,Q9H2X6,Q9H3N8,Q9H422,Q9H492,Q9H4B4,Q9H4B7,Q9H9B1,Q9HAS3,Q9HB55,Q9HBH9,Q9HC16,Q9HC35,Q9HCG7,Q9HCN6,Q9HCR9,Q9NP56,Q9NPC1,Q9NPC2,Q9NPD5,Q9NR63,Q9NS75,Q9NSA0,Q9NTG7,Q9NWT8,Q9NWZ3,Q9NXA8,Q9NY46,Q9NY47,Q9NY91,Q9NYL2,Q9NYY3,Q9NZ45,Q9NZQ7,Q9P0X4,Q9UBF8,Q9UBM7,Q9UBN1,Q9UBN7,Q9UBT6,Q9UDY8,Q9UF02,Q9UGN5,Q9UHC3,Q9UHD2,Q9UHL4,Q9UI33,Q9UJW3,Q9UKK3,Q9UKV0,Q9ULX7,Q9UM07,Q9UM73,Q9UN88,Q9UNA4,Q9UNM6,Q9UNQ0,Q9UNU6,Q9UP65,Q9UPP1,Q9UPY5,Q9UQ49,Q9UQD0,Q9UQL6,Q9UQM7,Q9Y233,Q9Y243,Q9Y253,Q9Y263,Q9Y271,Q9Y2D0,Q9Y2K2,Q9Y2T6,Q9Y3R4,Q9Y468,Q9Y4D2,Q9Y4K0,Q9Y4K4,Q9Y572,Q9Y5N1,Q9Y5S8,Q9Y5X4,Q9Y5X9,Q9Y5Y9,Q9Y618,Q9Y694,Q9Y698,Q9Y6E0,Q9Y6F1,Q9Y6K1,Q9Y6K9,Q9Y6L6,Q9Y6Q9
prazosin hydrochloride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56800,5870,0,0,0,0,0,133000,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6963,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,0,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24277.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nicotine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133000,133000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422666.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,26300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3810,0,0,0,0,0,0,0,0,0,0,0,0,0,1927.266667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.7363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.8,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ofloxacin otic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133000,133000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ofloxacin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133000,133000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
