,drug,withdrawn_class,smiles
58,chembl1256842,1,CN1Cc2c(N)cccc2C(c2ccccc2)C1.O=C(O)/C=C\C(=O)O
59,chembl1334033,1,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O
60,chembl1402684,1,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1
61,chembl1474963,1,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1
62,chembl1615350,1,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21
63,chembl1697751,1,CC(C)Nc1ncccn1.O=P(O)(O)O
64,chembl1909282,1,O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1
65,chembl1909283,1,CC(NN)c1ccccc1
66,chembl1909285,1,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1
67,chembl1909286,1,CC(COc1ccccc1)NN
68,chembl1909288,1,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1
69,chembl1909289,1,CCOC(Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1
70,chembl1740513,1,CC(C)Nc1ncccn1
71,chembl1742471,1,NC(N)=Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1
72,chembl2104136,1,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21.O=P(O)(O)O
73,chembl2105740,1,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)[N-]c1onc(C)c1Cl)OCO2.[Na+]
74,chembl2107495,1,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1.Cl
75,chembl2355333,1,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1.Cl.Cl.O
76,chembl3183453,1,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C.[Na+]
77,chembl268164,1,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
78,chembl497,1,Oc1c(I)cc(Cl)c2cccnc12
79,chembl13280,1,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
80,chembl101,1,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
81,chembl282052,1,Cc1ccccc1-n1c(C)nc2ccccc2c1=O
82,chembl278819,1,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1
83,chembl418995,1,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21
84,chembl127516,1,CCCCOC(=O)c1ccc(N)cc1
85,chembl346235,1,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1.Cl.Cl
86,chembl201960,1,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1
87,chembl1184360,1,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1
88,chembl1364551,1,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1.Cl.Cl
89,chembl1418176,1,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
90,chembl1697760,1,CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O
91,chembl2104607,1,CCN(CC)C(=O)c1cccnc1
92,chembl2105581,1,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC
93,chembl2105941,1,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O.[Na+]
94,chembl2106556,1,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2]
95,chembl411,1,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
96,chembl437,1,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
97,chembl268869,1,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
98,chembl464,1,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
99,chembl16073,1,CCOc1ccc(NC(C)=O)cc1
100,chembl15677,1,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl
101,chembl276520,1,c1ccc2c(CCC3CCNCC3)c[nH]c2c1
102,chembl15870,1,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
103,chembl16476,1,CC(C)NCC(O)c1ccc2ccccc2c1
104,chembl19490,1,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1
105,chembl24944,1,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O
106,chembl22242,1,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
107,chembl772,1,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
108,chembl290106,1,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
109,chembl39736,1,CCCCNC(=N)NC(=N)N
110,chembl288470,1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
111,chembl44618,1,ClC(Cl)Cl
112,chembl869,1,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
113,chembl53418,1,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21
114,chembl54976,1,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
115,chembl291338,1,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O
116,chembl956,1,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
117,chembl62193,1,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
118,chembl73234,1,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
119,chembl94081,1,C=CCOc1ccc(CC(=O)O)cc1Cl
120,chembl316561,1,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1
121,chembl110691,1,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
