smiles,withdrawn_class
CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21.O=P(O)(O)O,1
Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)[N-]c1onc(C)c1Cl)OCO2.[Na+],1
CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1.Cl.Cl.O,1
CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C.[Na+],1
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,1
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,1
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
Oc1c(I)cc(Cl)c2cccnc12,1
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,1
Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,1
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,1
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,1
O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,1
CCCCOC(=O)c1ccc(N)cc1,1
CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1.Cl.Cl,1
CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,1
CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,1
Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1.Cl.Cl,1
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,1
CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O,1
C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,1
CCN(CC)C(=O)c1cccnc1,1
CCCC(C(=O)c1ccc(C)cc1)N1CCCC1.Cl,1
CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2],1
Cc1ccccc1-n1c(C)nc2ccccc2c1=O.Cl,1
CCCCOC(=O)c1ccc(N)cc1.CCCCOC(=O)c1ccc(N)cc1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O,1
